Raw_Label,Logical_Name,Disposition_Color,Disposition_Interpretation,Layer,Domain,System_Type,Dependencies_Upstream,Dependencies_Downstream,Notes
SFCC,SFCC — Order Capture (Consumer),Black,Existing,Application,Commerce,SaaS,Consumer Web Channels,Order Mgmt (Consumer); Oracle EBS - Order Mgmt,Current consumer storefront + order capture.
Order Mgmt (Consumer),Order Management — Consumer Cluster,Black,Existing,Application,Order Management,Composite,SFCC; CC UI; Store UI,Oracle EBS - Order Mgmt; HighJump WMS,"Composite OMS including DOMS AWS, Legacy DOMS, UI layers, sourcing."
CC UI,Contact Center UI — Order Tools,Black,Existing,Channel,Customer Service,Application,Contact Center,Order Mgmt (Consumer),"Order lookup, modification, returns."
Store UI,Store UI — Order Tools,Black,Existing,Channel,Retail Stores,Application,Store Ops Devices,Order Mgmt (Consumer); POS,Store-based order lookup & returns.
DOMS AWS,DOMS on AWS — OMS Engine,Black,Existing,Application,Order Management,Custom Hosted,SFCC; CC UI; Store UI,Oracle EBS; HighJump; Sourcing,Current ecommerce order management.
Legacy DOMS,Legacy DOMS — OMS Engine,Black,Existing,Application,Order Management,Legacy,Stores; Store UI,Oracle EBS; HighJump; Sourcing,Legacy store OMS.
Price Lists,Price Lists — Current,Black,Existing,Application,Pricing,Data/Service,DOMS AWS; Legacy DOMS,SFCC; Oracle EBS - Pricing,Provides price books to commerce + ERP.
Sourcing,Sourcing Engine — Current State,Black,Existing,Application,Fulfillment,Service,DOMS AWS; Legacy DOMS,HighJump; 3PL,Determines fulfillment locations.
POS,POS — Predict Springs,Black,Existing,Application,Retail Stores,SaaS,Store UI,POSLog; ReSA; Oracle EBS,Store sales & returns.
POSLog,POSLog — Transaction Log,Black,Existing,Integration,Retail Stores,Log Store,POS,ReSA; RMS,Downstream auditing + inventory.
ReSA,ReSA — Sales Audit,Black,Existing,Application,Finance,Application,POSLog,Oracle EBS - Financials,Sales audit→GL.
SIM,SIM — Store Inventory Mgmt,Black,Existing,Application,Inventory,Application,Stores; POS; RMS,Oracle EBS,Store-level adjustments & transfers.
RMS,RMS — Retail Merchandising System,Black,Existing,Application,Merchandising,Application,Oracle EBS - Purchasing,SIM; Reporting,Merch hierarchy + inventory.
Halo,Halo — RFID & Inventory Ops,Black,Existing,Application,Store Operations,Application,Store Ops Devices,SIM; RMS,"Cycle count, RFID, receiving."
Oracle EBS,Oracle E-Business Suite — ERP,Black,Existing,ERP,Enterprise Back Office,ERP Suite,OMS; POS; RMS,Reporting; WMS; Nexus,"Finance, PO, Customer, Location, Order Mgmt, Pricing, Inventory."
Financials,Oracle EBS — Financials,Black,Existing,Application,Finance,ERP Module,ReSA; POS,Reporting,GL/AR/AP/FA.
Purchasing,Oracle EBS — Purchasing,Black,Existing,Application,Procurement,ERP Module,Vendors,RMS; Inventory Mgmt,POs + ASNs.
Customer & Vendor,Oracle EBS — Customer & Vendor,Black,Existing,Application,Customer / Vendor,ERP Module,Order Mgmt; Financials,Reporting,Master data.
Order Mgmt,Oracle EBS — Order Mgmt,Black,Existing,Application,Order Management,ERP Module,DOMS AWS; Legacy DOMS,Inventory Mgmt; Financials,Order processing + sourcing.
